IDX,SQ1,SQ2,SQ3,SQ4,SQ4_1_1,SQ5,SQ5_text,SQ6,SQ7,SQ7_text,q1_1,q1_2,q1_3,q1_4,q1_5,q1_6,q2_1,q2_2,q2_3,q2_4,q2_5,q2_6,q2_7,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q3_7,q4,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,q5_7,q5_8,q5_9,q5_10,q5_10_text,q6,q7,q7_1A_1,q7_1A_2,q7_1A_3,q7_1A_4,q7_1A_5,q7_1A_6,q7_1B_1,q7_1B_2,q7_1B_3,q7_1B_4,q7_2_1,q7_2_2,q7_2_3,q7_2_4,q7_2_5,q7_2_6,q7_2_7,q8_1,q8_2,q8_3,q8_4,q8_5,q8_6,q9_1,q9_2,q9_3,q9_text,q10_1,q10_2,q10_3,q10_4,q10_5,q11A_1,q11A_2,q11B_1,q11B_2,q11B_3,q11B_4,q12,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q13_8,q13_9,q13_10,q13_10_text,q14,q15,q15_text,q16_1,q16_2,q16_3,q16_4,q16_5,q16_6,q16_7,q16_8,q17_1,q17_2,q17_3,q17_4,q17_5,q17_6,q17_7,q17_8,q17_9,q17_10,q17_11,q17_12,q17_13,q17_13_text,q18_1,q18_2,q18_3,q18_4,q18_5,q18_6,q18_7,q18_8,q18_9,q19_1,q19_2,q19_3,q20,q20_1,q20_1_text,q20_2_1c,q20_2a_1,q20_2b_1,q20_2_2c,q20_2a_2,q20_2b_2,q20_2_3c,q20_2a_3,q20_2b_3,q20_2_4c,q20_2a_4,q20_2b_4,q20_2_5c,q20_2a_5,q20_2b_5,q20_2_6c,q20_2a_6,q20_2b_6,q20_2_7c,q20_2a_7,q20_2b_7,q20_3_1,q20_3_2,q20_3_3,q20_3_4,q20_3_5,q20_3_6,q20_3_7,q20_3_8,q20_3_9,q20_3_10,q20_3_11,q20_3_12,q20_3_12_text,q21_1,q21_2,q21_3,q21_4,q21_5,q21_6,q21_7,q21_8,q21_8_text,q22_1,q22_2,q22_3,q22_4,q22_5,q22_6,q22_7,q22_8,q22_9,q22_10,q22_11,q22_12,q22_12_text,q23,q24_1,q24_2,q24_3,q25_1,q25_2,q25_3,q25_4,q25_5,q25_6,q25_7,q25_8,q25_9,q26_1,q26_2,q26_3,q26_4,q27,q27_1_1,q27_1_2,q27_1_3,q27_1_4,q27_1_5,q27_1_6,q27_1_7,q27_1_8,q27_1_9,q27_1_10,q27_1_11,q27_1_12,q27_1_13,q27_1_13_text,q28_1,q28_2,q28_3,q28_4,q28_5,q28_6,q28_7,q28_8,q28_9,q28_10,q28_11,q28_11_text,q29,q30,q30_1,q30_1_text,q31_1,q31_2,q31_3,q31_text,q32,q33,q34,q34_1_1,q34_1_2,q34_1_3,q34_1_4,q34_1_5,q34_1_6,q34_1_7,q34_1_8,q34_1_9,q34_1_9_text,q34_2_1,q34_2_2,q34_2_3,q34_2_4,q34_2_5,q34_2_6,q34_2_7,q34_2_8,q34_2_8_text,q34_3,q35,q36,q36_1,q36_1_text,q37,q37_1_1,q37_1_2,q37_1_3,q37_1_4,q37_1_5,q37_2_1,q37_2_2,q37_2_3,q37_2_4,q37_2_5,q37_2_6,q37_2_7,q37_2_7_text,q37_3,q38,q38_1,q38_1_text,q39,q40,q41_1,q41_2,q41_3,q41_4,q42_1,q42_2,q42_3,q42_4,q42_5,q42_6,q42_7,q42_8,q42_9,q42_10,q42_10_text,q43_1,q43_2,q43_3,q43_4,q43_5,q43_6,q43_7,q43_8,q43_9,q43_1_1,q43_1_2,q43_1_3,q43_1_text,q43_2_1,q43_2_2,q43_2_3,q43_2_text,q44,q44_text,q45_1,q45_2,q45_3,q45_4,q45_5,q45_1A,q45_1A_text,q46,q47,q48,q49,q49_1,q50,q51_H,q51_M,q52_H,q52_M,q53_H,q53_M,q54,q55,q56,q57,DQ1,DQ2,DQ3,DQ4,DQ5,DQ6,DQ7_1,DQ7_1_text,DQ7_2,DQ7_2_text,DQ7_3,DQ7_3_text,DQ8
1,3,1,1,11,114,3, ,1,4, ,3,2,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,2,1,2, ,4, , , , , , , ,5,1,10,5,1,2,7,7, , , , ,5,4,5,2,4,4,4,2,5,3,4,2,2,1,6,4, ,5,5,5,5,5,3,3,3,3,3,1,2,1,2, , ,5, , , , , , ,5,4, ,5,5,5,5,5,5,5,5,1, , ,4, , ,7, , , , , , , ,1,1,1,1,1,1,1,1,1,5,5,4,2, , , , , , , , ,ok,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5,6, , , ,1, , ,4,5, , , , , , , , ,4,3,2,5,1,1,1,1,1,4,4,3,4,5,5,4,4,1, ,2,3,4, , , , , , , , , , ,1, , , , , , , ,9, , , ,2,1,9, ,11,13,10, ,3,7,2, , , , , , , , , , , , , , , , , , , , ,4,4,2, ,2, , , , , , , , , , , , , , ,5,2, ,5,1,5,5,5,4,1, , ,4, , ,7, , , , , , , ,4, , , , , ,3,5,6, , , , , ,3, ,4,4,4,4,4,2, ,2,5,2,2, ,6,8,0,7,0,2,0,2,3,4,2,2,37,2,1,2011,4,3, ,3, , , ,4
2,3,1,1,11,112,3, ,1,5, ,2,2,3,2,3,3,5,4,3,5,5,5,5,3,3,1,4,2,1,2,3,1,2, , , , ,7, , , , ,3,1,51,7,0,0,0,0, , , , ,4,4,5,3,2,4,2,2,2,5,4,3,1,1,3,4, ,4,5,5,4,3,3,3,1,5,1,1,4,1,2, , ,5, , , , , , ,4,5, ,5,5,4,4,3,5,2,2,1,2, , , ,6, , , , , , , , ,4,4,3,3,5,2,2,2,4,5,5,3,2, , , , , , , , , , , ,ok,4,4, , , ,ok,6,4, , , , , , , , , , , , , , , , , ,2, ,4, , , , , ,1, , , ,5, , , ,9, , , , ,4,6,1,5,1,1,2,1,1,4,3,2,1,4,4,3,2,2, ,2, ,4, ,6, , , , , , , , ,1, ,3, , , , , , , , , ,1,1,1, ,16,15,14, ,4,9,2, , , , , , , , , , , , , , , , , , , , ,4,4,3, ,2, , , , , , , , , , , , , , ,5,1, ,5,2,3,4,4,3,1, , , ,5, ,7, , , , , , , ,4, , , , , ,3,4,2, , , , , ,4, ,3,3,5,5,5,2, ,2,4,2,2, ,5,8,0,6,0,4,0,2,3,4,6,2,29,1,1,2021,3,5, , , , , ,3
3,1,1,1,3,104,3, ,1,5, ,2,1,2,3,3,3,4,3,3,4,5,3,4,3,3,3,4,2,2,2,3, ,2,3, , , , ,8, , , ,4,1,7,0,0,0,0,0, , , , ,4,4,4,3,3,4,4,3,3,3,4,3,2,2,4,6, ,4,4,4,4,4,4,3,3,3,3,2,3,1, , , ,5, , , ,9, , ,4,7, ,4,4,3,4,4,5,3,3,1, , , , , ,7,8, , , , , , ,4,4,4,4,4,4,2,4,4,4,4,4,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , ,3, ,5, , ,8, , , , , ,4,2,5,5,1,2,3,2,2,3,3,3,1,3,4,3,5,3, , , , , , , , , , , , , , , , , , , ,6, , ,9, , , ,2,1,9, ,13,14,15, ,5,9,1,1, ,3, , , , , , , ,1, , , , , , , , ,3,4,4,2, ,2, , , , , , , , , , , , , , ,4,7, ,5,3,4,4,3,3,1,2, , ,5, , , , , , , , , , , , , , ,9, , , , ,2,1,9, ,2, ,4,3,4,5,3, , ,2,4,1,2, ,5,9,0,7,0,3,0,2,2,3,6,1,39,2,1,2012,3,2, , , , , ,5
4,1,1,1,1,101,11, ,1,5, ,2,3,3,3,4,4,4,4,3,5,4,4,5,4,4,3,4,4,4,5,3, ,2, , ,5,6, , , , , ,2,1,7,0,0,0,3,2, , , , ,3,4,2,2,2,5,2,1,5,2,4,1,1,7,1,3, ,5,5,4,4,3,4,4,4,4,4,2,4, , , ,4,5, , , ,9, , ,3,7, ,3,4,4,4,3,4,5,4,1, , ,4, , , , , , ,11, , , ,3,4,3,5,5,2,3,1,1,2,4,2,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,4, , , , ,9, ,11, , ,4,9,8,8,1,3,3,2,2,2,4,4,4,4,3,3,1,4, , , , , , , , , , , , , , , , , , , , , ,8,9, , , ,1,1,1, ,17,6,11,사건 발생 등 사회 현안,2,3,1, ,2,3, , , , , ,9,욕설,1,2, , , , , , , ,2,4,4,6, ,1,4,3,1,4,5, , , , ,5, , , ,2,5,5, ,5,2,4,2,4,4, , ,3, , ,6,7, , , , , , , ,4, , , , , ,3,2,1, , , , , ,1, ,4,2,5,4,2, , ,2,4,2,2, ,5,8,20,7,0,2,0,2,4,6,5,2,25,1,1,2021,3,8, , , , , ,4
5,3,1,1,11,114,5, ,1,1, ,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,2,3,1,2, , , , ,7, , , , ,3,1,20,10,10,5,30,50, , , , ,5,3,3,2,5,2,2,2,2,2,3,2,2,1,3,7, ,5,5,5,5,3,3,3,3,4,4,4,3, , , ,4, ,6, , ,9, , ,4,1, ,4,4,4,4,4,4,4,4,1, , , ,5, ,7, , , , , , , ,1,1,1,1,1,1,1,1,1,4,4,5,2, , , , , , , , , , , ,ok,4,3, , , , , , , , , , , , , , , , , , , , , , , ,2,3,4, , , , , ,1, , , ,5, , , ,9, , , , ,3,5,5,5,3,3,3,3,2,4,3,2,2,4,4,3,3,2, ,2,3, , , , , , , , ,12, , , , ,3, , , ,7, , , , , ,1,1,1, ,1,8,9, ,0,5,1, ,2, , , , , , , , , , ,3, , , , , , ,3,3,5,2, ,1,3,3,3,3,3, ,2,3, , , , , ,3,4,2, ,4,3,3,3,3,3,1,2, , , , ,7, , , , , , , , , , , , ,9, , , , ,2,5,8, ,2, ,3,3,3,3,3, , ,2,3,2,2, ,5,8,0,5,0,3,0,2,3,6,5,1,57,2,1,2018,3,8, , , , , ,3
6,1,3,3,2,103,3, ,1,5, ,3,3,4,4,4,3,4,3,3,4,4,3,4,4,3,4,4,3,3,3,3,1,2, , ,5, , , , , , ,3,1,5,3,0,0,5,0, , , , ,4,4,4,3,3,4,2,4,4,2,4,3,2,1,4,2, ,5,4,4,3,4,4,4,4,4,3,4,4,1, ,3, ,5, , , , , , ,2,1, ,2,4,4,3,3,3,3,3,1,2, , , ,6, , , , , , , , ,3,3,2,3,3,2,3,2,3,2,3,2,2, , ,ok,1,3,ok,2,2,ok,3,3,ok,4,3,ok,5,3,ok,6,3,ok,7,3,1,2,3, , , , , , , , , , ,1, , ,4, ,6, , , ,1, ,3, ,5, , , , , , , , ,3,9,8,8,3,4,3,3,3,4,3,4,3,4,4,3,2,3, , , , , , , , , , , , , , ,1, ,3, , , , , , , , , ,1,2, , ,3,1,10, ,5,8,2, , , , , , , , , , , , , , , , , , , , ,2,4,2, ,2, , , , , , , , , , , , , , ,3, , ,4,4,3,3,2,2,1,2,3, , , , , , , , , , , , , , , , ,9, , , , ,1,2,3, ,2, ,3,3,3,4,3, , ,3,3,1,1,1,5,8,0,7,0,2,0,2,3,4,4,1,36,2,1,2014,3,2, , , , , ,5
7,3,1,1,11,112,12, ,2,3, ,1,2,2,3,4,2,5,5,3,4,4,5,5,4,3,3,3,4,4,4,2,1,2, ,4, , , , , , , ,3,1,0,0,0,1,0,0, , , , ,4,2,2,2,3,3,2,2,2,2,4,4,1,1,3,2, ,5,5,4,2,4,3,3,2,4,3,4,4,1, ,3, , , , ,8, , , ,4,2, ,4,5,5,5,5,5,4,4,1, , , , , , , , , ,11,12, , ,4,5,2,4,5,2,2,1,2,4,5,4,2, , ,ok,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, , ,1, ,3,4, , , , , , , , , ,2,9,7,9,3,3,3,2,2,4,2,3,4,4,5,2,2,2, , , ,4, ,6, , , ,10, , , , , , , , , ,6, ,8, , , , ,1,1,1, ,2,10,4, ,4,2,1,1, ,3, , , , , , , ,1, ,3,4, , , , , ,4,4,4,1, ,2, , , , , , , , , , , , , , ,4,2, ,3,2,4,4,2,2,1, , , , , ,7,8, , , , , , , , , , , ,9, , , , ,1,8,6, ,2, ,2,2,2,2,2, , ,3,5,1,1,2,5,9,0,6,0,2,0,2,6,3,4,1,46,2,1,2003,3,3, , , , , ,6
8,1,1,1,3,104,17, ,2,5, ,2,4,4,3,4,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4, ,2, ,4,5, , , , , , ,3,2, , , , , , , , , , , , , , , , , ,4,5,5,5,5,1,3,1,2, ,5,5,5,5,5,5,4,4,4,4,5,4, ,2, ,4, , , ,8, , , ,4,2, ,4,5,5,5,5,5,5,5,1, , ,4, , , , , , ,11, , , ,1,1,1,1,1,1,1,1,1,2,2,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, , ,1, , , , , , , ,9,10, , , ,4,5,5,7,2,2,3,3,2,3,2,4,2,1,1,1,1,2, ,2, , , ,6,7, , , , , , , , ,2, , , , , , , ,10, , ,2,1,12, ,9,6,5, ,5,5,2, , , , , , , , , , , , , , , , , , , , ,3,4,1, ,2, , , , , , , , , , , , , , ,3, , ,3,3,5,5,5,5, ,2, ,4, , , , ,9, , ,1,2, ,4, , , , , ,2,6,5, , , , , ,5, ,4,4,4,4,4,1, ,3,5,2,2, ,5,8,0,5,0,2,0,2,6,4,6,2,31,2,1,2021,3,8, , , , , ,3
9,3,1,1,11,113,4, ,1,5, ,3,3,4,4,4,5,3,4,5,5,5,5,5,3,2,2,2,3,3,2,3,1, , , , , ,7,8, , , ,2,1,10,2,0,1,10,0, , , , ,4,4,4,2,3,3,4,4,3,3,2,3,2,1,6,7, ,4,5,4,3,3,3,4,4,4,2,4,3, , ,3, ,5, , ,8, , , ,3,2, ,4,5,5,3,3,5,5,5,1,2, , ,5, , , , , , , , , ,4,4,1,2,4,2,1,1,1,3,3,3,2, , ,ok,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, , , , ,3,4,5, , , , , , , , ,3,7,5,6,2,3,3,2,2,3,3,2,2,3,4,3,4,3, , , , , , , , , , , , , , ,1, , , , ,6, , , , , , ,1,1,1, ,1,5,10, ,5,5,2, , , , , , , , , , , , , , , , , , , , ,4,4,6, ,2, , , , , , , , , , , , , , ,4,3, ,4,3,3,3,3,3, , , , ,5, , ,8,9, , , , , , , , , , ,9, , , , ,2,3,4, ,3, ,3,2,4,4,3, , ,2,3,1,2, ,5.5,9,0,6,0,2,0,1,3,4,5,1,36,2,1,2014,3,1, , , , , ,3
10,3,1,1,11,113,4, ,1,3, ,1,4,3,3,3,2,5,5,3,5,5,5,5,3,3,3,3,4,4,3,3,1,2, ,4, , , , , , , ,4,1,40,7,0,0,0,0, , , , ,4,3,4,3,3,3,4,2,4,2,4,2,4,1,4,2, ,3,5,4,1,4,3,2,3,2,2,2,3,1, , ,4,5, , , , , , ,3,3, ,2,5,5,5,5,5,5,5,1, , ,4, , , , , , ,11, , , ,4,4,1,3,2,1,1,1,1,2,4,4,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, , , , ,3, , , , ,8,9, , , , ,5,5,5,5,3,3,3,3,2,2,3,3,3,3,3,3,3,2,1, ,3, ,5, , , , , , , , , ,1, , , ,5, , , , , , , ,1,2, , ,1,4,8, ,5,5,2, , , , , , , , , , , , , , , , , , , , ,3,4,5, ,2, , , , , , , , , , , , , , ,3, , ,3,3,3,3,3,3,1, , ,4,5, , , , , , ,1,2,3, , , , , , ,3,2,1, , , , , ,3, ,3,1,3,4,3, , ,2,4,1,1,1,5,8,0,5,0,1,0,2,3,6,5,1,46,2,1,2003,3,5, , , , , ,7
